Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
JS-USD,JavaScript Token USD,0.001033,-4e-06,-0.42%,"8,253",0,0,0,7.992M
DTRC-USD,Datarius Credit USD,0.000041,0.0,-0.46%,"8,156",66,66,66,201.017M
DVC-USD,DragonVein USD,0.000013,0.0,3.75%,"7,716","1,510","1,510","1,510",605.027M
STREAM-USD,Streamit Coin USD,0.000558,-2e-06,-0.42%,"7,552",3,3,3,13.529M
GDR-USD,Guider USD,0.00003,-7e-06,-19.14%,"7,544",18,18,18,249.181M
COAL-USD,BitCoal USD,0.001675,0.000834,99.16%,"7,535",6,6,6,4.5M
ACOIN-USD,Acoin USD,0.00614,-2.6e-05,-0.42%,"7,491",3,3,3,1.22M
LAND-USD,Landbox USD,0.000096,0.0,-0.01%,"7,336",1,1,1,76.385M
BSL-USD,BSClaunch USD,0.003701,-0.000113,-2.97%,"7,229","1,559","1,559","1,559",1.953M
XGS-USD,GenesisX USD,0.000558,-2e-06,-0.42%,"7,100",3,3,3,12.721M
ALLOY-USD,HyperAlloy USD,0.002019,-0.001145,-36.19%,"6,972",0,0,0,3.453M
KEMA-USD,Kemacoin USD,0.000279,-1e-06,-0.42%,"6,799",0,0,0,24.36M
HELP-USD,GoHelpFund USD,0.000558,-2e-06,-0.42%,"6,780","5,176","5,176","5,176",12.147M
INX-USD,Insight Protocol USD,0.000036,-5e-06,-12.20%,"6,601","13,999","13,999","13,999",183.286M
HERON-USD,Heron Asia USD,0.000374,0.0,0.00%,"6,525",19,19,19,17.442M
BNF-USD,BonFi USD,0.000022,0.0,-0.01%,"6,427",25,25,25,297.418M
TVNT-USD,TravelNote USD,0.002982,-3.5e-05,-1.16%,"6,421",2,2,2,2.153M
CRDT-USD,CRDT USD,0.000717,0.00025,53.50%,"6,294",0,0,0,8.779M
SPR-USD,SpreadCoin USD,0.000558,-2e-06,-0.42%,"6,229",6,6,6,11.159M
PXI-USD,Prime-XI USD,0.000279,-1e-06,-0.42%,"6,121",14,14,14,21.932M
SCS-USD,SpeedCash USD,0.010606,-4.5e-05,-0.42%,"6,095",12,12,12,"574,745"
ZINC-USD,ZINC USD,0.001085,-5e-06,-0.46%,"6,057",58,58,58,5.584M
LCMS-USD,LCMS USD,0.0004,0.0,-0.01%,"5,972",0,0,0,14.923M
CAB-USD,Cabbage USD,0.000558,-2e-06,-0.42%,"5,861",2,2,2,10.5M
QBC-USD,Quebecoin USD,0.000837,-4e-06,-0.42%,"5,612",2,2,2,6.703M
PAYX-USD,Paypex USD,0.000037,-1e-06,-1.60%,"5,514",11,11,11,149.998M
ZYD-USD,Zayedcoin USD,0.000837,-4e-06,-0.42%,"5,228",7,7,7,6.244M
XOV-USD,XOVBank USD,0.000037,-1e-06,-1.60%,"5,211",4,4,4,141.756M
VEC2-USD,VectorAI USD,0.000279,-1e-06,-0.42%,"5,135",2,2,2,18.399M
VLT-USD,Veltor USD,0.008931,-3.8e-05,-0.42%,"4,955",4,4,4,"554,855"
ROOM-USD,OptionRoom USD,0.00039,1.6e-05,4.20%,"4,877","13,075","13,075","13,075",12.493M
SHB-USD,SkyHub Coin USD,0.007536,-3.2e-05,-0.42%,"4,848",14,14,14,"643,412"
CXT-USD,Coinonat USD,0.000558,-2e-06,-0.42%,"4,813",6,6,6,8.623M
PLNC-USD,PLNcoin USD,0.000279,-1e-06,-0.42%,"4,769",2,2,2,17.09M
SFCP-USD,SF Capital USD,0.000048,9e-06,24.67%,"4,754",10,10,10,100M
SWC-USD,Scanetchain USD,0.00000558,-2e-08,-0.42%,"4,686",14,14,14,839.506M
VOLT-USD,Bitvolt USD,0.000279,-1e-06,-0.42%,"4,629",6,6,6,16.588M
CMT-USD,Comet USD,0.005303,-2.2e-05,-0.42%,"4,628",2,2,2,"872,830"
KWIK-USD,Kwikswap Protocol USD,0.000487,-8e-06,-1.55%,"4,622",37,37,37,9.497M
FUZE-USD,FUZE Token USD,6.1272,-1.6389,-21.10%,"4,591","27,683","27,683","27,683",749
IMS-USD,Independent Money System USD,0.000837,-4e-06,-0.42%,"4,495",10,10,10,5.369M
DIN-USD,Dinero USD,0.000502,2.6e-05,5.44%,"4,495",12,12,12,8.948M
SCAP-USD,SafeCapital USD,0.0024,-0.000402,-14.36%,"4,447",0,0,0,1.853M
CARE-USD,Carebit USD,0.000028,0.0,-0.42%,"4,405",0,0,0,157.854M
GPKR-USD,Gold Poker USD,0.000837,-4e-06,-0.42%,"4,404",29,29,29,5.261M
ROAD-USD,ROAD USD,0.00005,0.0,0.00%,"3,949","25,504","25,504","25,504",79.301M
IBANK-USD,iBank USD,0.000837,-4e-06,-0.42%,"3,789",0,0,0,4.526M
XGT-USD,Xion Finance USD,0.000374,1.1e-05,2.96%,"3,725",112,112,112,9.961M
ICON-USD,Iconic USD,0.00614,-2.6e-05,-0.42%,"3,640",2,2,2,"592,893"
JOINT-USD,Joint Ventures USD,0.000158,-1e-06,-0.56%,"3,513",967,967,967,22.248M
CNNC-USD,Cannation USD,0.001396,0.000274,24.48%,"3,456",4,4,4,2.477M
PYRK-USD,Pyrk USD,0.000219,-4e-06,-1.60%,"3,452",574,574,574,15.782M
XGM-USD,Defis USD,0.000025,0.0,-0.42%,"3,380",156,156,156,134.559M
XDNA-USD,XDNA USD,0.000363,-2e-06,-0.42%,"3,200",0,0,0,8.822M
HVCO-USD,High Voltage USD,0.002072,-2e-05,-0.97%,"3,096",4,4,4,1.494M
MERI-USD,Merebel USD,0.000474,0.000222,88.10%,"2,939",23,23,23,6.195M
FNX-USD,FinNexus USD,0.000083,0.0,0.00%,"2,878",0,0,0,34.472M
TCAT-USD,The Currency Analytics USD,0.000018,0.0,-1.60%,"2,869",12,12,12,156.089M
SET-USD,Save Environment Token USD,0.002813,-0.001447,-33.97%,"2,702",875,875,875,"960,881"
EXO-USD,Exosis USD,0.005082,-5.6e-05,-1.09%,"2,623",0,0,0,"516,268"
NOTE-USD,Note USD,0.000018,0.0,-1.60%,"2,482",1,1,1,135.043M
MCPC-USD,Mobile Crypto Pay Coin USD,0.000251,-2.9e-05,-10.38%,"2,423",4,4,4,9.647M
CRM-USD,Cream USD,0.000051,0.0,0.58%,"2,320",0,0,0,45.109M
RAID21527-USD,Ancient Raid USD,0.000034,4e-06,12.53%,"2,091",588,588,588,60.965M
SOCC-USD,SocialCoin USD,0.000198,-1e-06,-0.30%,"2,083",94,94,94,10.518M
ECU-USD,ECOSC USD,0.002301,0.0,-0.01%,"1,981",6,6,6,"861,265"
MATE-USD,Mate USD,0.000734,-4e-06,-0.50%,"1,981",7,7,7,2.7M
LTK-USD,LitecoinToken USD,0.00000002,0.0,-0.01%,"1,876",29,29,29,93.798B
REW-USD,Rewardiqa USD,0.000184,-3e-06,-1.60%,"1,838",2,2,2,10M
CNTM-USD,Connectome USD,0.001431,0.0007,95.88%,"1,732",631,631,631,1.211M
WTF12572-USD,Waterfall DeFi USD,0.000408,-8.7e-05,-17.51%,"1,607",6,6,6,3.937M
LTCU-USD,LiteCoin Ultra USD,0.001396,-6e-06,-0.42%,"1,439",2,2,2,1.031M
SANDG-USD,Save and Gain USD,0.000463,-4e-06,-0.89%,"1,418",0,0,0,3.065M
CBIX-P-USD,Cubiex Power USD,0.007986,-1.2e-05,-0.15%,"1,346",45,45,45,"168,605"
RIGEL-USD,Rigel Finance USD,0.320164,-2.1e-05,-0.01%,"1,344",0,0,0,"4,199"
CYL-USD,Crystal Token USD,0.002666,0.000424,18.90%,"1,504","126,670","126,670","126,670","564,377"
WBB-USD,Wild Beast Block USD,0.007257,-3.1e-05,-0.42%,"1,320",2,2,2,"181,919"
SEFA-USD,Mesefa USD,0.003002,0.0,-0.01%,"1,292",6,6,6,"430,655"
DEP9164-USD,Depth Token USD,0.0000024,0.0,0.00%,"1,269",0,0,0,527.672M
ROFI-USD,HeroFi (ROFI) USD,0.015052,0.0,0.00%,"1,239",2,2,2,"82,368"
EGG7665-USD,NestEGG Coin USD,0.000028,0.0,-0.42%,"1,181",0,0,0,42.343M
DASHG-USD,Dash Green USD,0.000474,-2e-06,-0.42%,"1,091",5,5,5,2.301M
VLS-USD,Veles USD,0.000837,-4e-06,-0.42%,"1,080",0,0,0,1.29M
CONX-USD,Concoin USD,0.001396,-6e-06,-0.42%,"1,038",3,3,3,"744,265"
KZC-USD,KZ Cash USD,0.000642,-3e-06,-0.42%,"1,003",1,1,1,1.564M
ARGUS-USD,Argus USD,0.000837,-4e-06,-0.42%,961,22,22,22,1.148M
PONZI-USD,PonziCoin USD,0.000837,-4e-06,-0.42%,721,2,2,2,"861,099"
STAK-USD,STRAKS USD,0.000028,0.0,-0.42%,665,0,0,0,23.859M
SFG-USD,S.Finance USD,0.007779,7.6e-05,0.98%,660,"28,555","28,555","28,555","84,903"
IRA-USD,Diligence USD,0.000028,0.0,-0.42%,586,11,11,11,21M
AAA-USD,Abulaba USD,0.000037,-1e-06,-1.60%,554,10,10,10,15.091M
DYNMT-USD,Dynamite USD,0.001426,-0.00048,-25.20%,549,"33,855","33,855","33,855","385,525"
KTS-USD,Klimatas USD,0.000363,-2e-06,-0.42%,262,35,35,35,"722,904"
BLIZZ-USD,Blizzard Network USD,0.000446,0.0,0.00%,241,7,7,7,"540,000"
ELD-USD,Electrum Dark USD,0.000055,-1e-06,-1.60%,215,24,24,24,3.899M
ARNX-USD,Aeron USD,0.00000469,-4.4e-07,-8.50%,93,519,519,519,20M
GMC-USD,GokuMarket Credit USD,0.000021,-8e-06,-26.26%,67,56,56,56,3.155M
NBXC-USD,Nibble USD,0.000112,0.0,-0.42%,30,0,0,0,"269,548"
CPAN-USD,CryptoPlanes USD,0.00000071,6e-08,8.73%,11,153,153,153,15.6M
RNBW-USD,HaloDAO USD,0.00000006,0.0,-4.98%,0,0,0,0,5.603M
YFFII-USD,YFFII Finance USD,0.00000001,0.0,-12.27%,0,190,190,190,"30,000"
BXB-USD,Bet2Bank USD,0.00000004,0.0,0.00%,0,"1,183","1,183","1,183",0
HIPPO-USD,Hippo Coin USD,0.00000013,0.0,0.00%,0,1,1,1,0
VLTY-USD,Vaulty USD,0.008372,0.0,0.00%,0,13,13,13,0
SST20029-USD,Sexn USD,0.000834,0.0,0.00%,0,166,166,166,0
PLUS-USD,PLUSPAD USD,0.000079,0.0,0.00%,0,4,4,4,0
CHIK-USD,Chickenkebab Finance USD,0.0004,0.0,0.00%,0,0,0,0,0
CVLC-USD,CriptoVille USD,0.00000073,0.0,0.00%,0,10,10,10,0
FEG-USD,FEG Token USD,0,0.0,4.72%,0,"623,289","623,289","623,289",0
RODO-USD,RODO USD,6.2958,0.0,0.00%,0,50,50,50,0
NFTZ-USD,ZelaaNFT USD,0.000003,0.0,0.00%,0,609,609,609,0
XGLI-USD,XGLI DAO Protocol USD,0.001625,-1.4e-05,-0.83%,0,"1,670","1,670","1,670",0
HEDG-USD,HedgeTrade USD,0.07994,2.4e-05,0.03%,0,739,739,739,0
BABYBITC-USD,BabyBitcoin USD,0,0.0,-6.71%,0,61,61,61,0
SAFUYIELD-USD,SafuYield Protocol USD,0,0.0,-23.88%,0,"1,705","1,705","1,705",0
OUSDC-USD,Orbit Bridge Klaytn USDC USD,1.0021,0.0065,0.65%,0,"39,917","39,917","39,917",0
FENOMY-USD,Fenomy USD,0.002252,0.000237,11.75%,0,"9,806","9,806","9,806",0
NUTS22651-USD,NutsDAO USD,0.181683,0.0,0.00%,0,"3,268","3,268","3,268",0
KGTX-USD,KnowieGTX USD,0.001378,-1e-05,-0.71%,0,77,77,77,0
CART-USD,CryptoArt.Ai USD,0.010295,-3.7e-05,-0.36%,0,"98,764","98,764","98,764",0
VPND-USD,VaporNodes USD,0.00213,-2.8e-05,-1.30%,0,"13,557","13,557","13,557",0
WJEWEL-USD,WJEWEL USD,0.176215,-0.004047,-2.25%,0,"73,257","73,257","73,257",0
PAVAX-USD,Ripae AVAX USD,0.46808,-0.011031,-2.30%,0,47,47,47,0
MELT-USD,Defrost Finance USD,0.001517,-9.7e-05,-6.00%,0,16,16,16,0
FEED17088-USD,chikn feed USD,0.000208,5e-06,2.38%,0,"2,106","2,106","2,106",0
VITA-USD,VitaDAO USD,1.5522,-0.0242,-1.53%,0,"85,096","85,096","85,096",0
NFAI-USD,Not Financial Advice USD,0.12054,0.012423,11.49%,0,"140,634","140,634","140,634",0
DUAL-USD,Dual Finance USD,0.029407,4e-06,0.01%,0,7,7,7,0
LIUX-USD,LIUX USD,0.000442,-1.1e-05,-2.40%,0,"23,965","23,965","23,965",0
FLETA-USD,FLETA USD,0.00063,0.0,-0.01%,0,0,0,0,0
BSHIB-USD,BuffedShiba USD,0,0.0,-4.47%,0,5,5,5,0
BOX20357-USD,BOX USD,0.024561,-0.000103,-0.42%,0,"52,435","52,435","52,435",0
LOC-USD,LockTrip USD,0.766443,-0.020303,-2.58%,0,"310,294","310,294","310,294",0
MIX21528-USD,DSC Mix USD,0.011395,-0.000207,-1.78%,0,164,164,164,0
HIPUNKS-USD,hiPUNKS USD,0.158661,-0.003162,-1.95%,0,"307,095","307,095","307,095",0
BAO22330-USD,BAO USD,0,0.0,1.22%,0,383,383,383,0
AKTIO-USD,Akt.io USD,0.295151,-0.012027,-3.92%,0,"5,309","5,309","5,309",0
OWL21047-USD,Owloper Owl USD,0.002843,-8.7e-05,-2.97%,0,71,71,71,0
HUAHUA-USD,Chihuahua USD,0.000087,-1e-06,-1.55%,0,"14,088","14,088","14,088",0
IBAT-USD,Battle Infinity USD,0.001006,-9e-06,-0.85%,0,"179,948","179,948","179,948",0
DUSD12366-USD,Demeter USD,0.032772,0.000105,0.32%,0,2,2,2,0
ARTE18070-USD,ARTE USD,0.00000168,0.0,-0.02%,0,5,5,5,0
BC21-USD,BabyCake USD,0.00000028,2e-08,8.45%,0,267,267,267,0
YEL-USD,YEL.Finance USD,0.003922,-4.4e-05,-1.11%,0,"2,300","2,300","2,300",0
SCROOGE-USD,SCROOGE USD,0,0.0,1.83%,0,"2,653","2,653","2,653",0
SMASH-USD,SmashCash USD,0.000014,0.0,0.30%,0,18,18,18,0
ALGX-USD,Algodex Token USD,0.000123,1e-05,9.10%,0,74,74,74,0
SENSI20022-USD,Sensi USD,0.002063,4e-06,0.21%,0,124,124,124,0
QDROP-USD,QuizDrop USD,0.060031,-4e-06,-0.01%,0,2,2,2,0
CORIS-USD,Corgiswap USD,0.008549,0.0,0.00%,0,18,18,18,0
EGC15368-USD,Egoras Credit USD,7.5889,0.0235,0.31%,0,"46,788","46,788","46,788",0
MLNK-USD,Malinka USD,0.000427,-8e-06,-1.74%,0,"187,417","187,417","187,417",0
AURORA-USD,HyperAurora USD,0.001281,0.0,0.00%,0,3,3,3,0
FOLO-USD,Alpha Impact USD,0.002974,-0.00016,-5.11%,0,684,684,684,0
FVP-USD,Fisher Vs Pirate USD,0.000021,0.0,0.00%,0,9,9,9,0
BAS11279-USD,Block Ape Scissors USD,0.021724,0.000438,2.06%,0,"4,039","4,039","4,039",0
OBX-USD,OpenBlox USD,0.002923,4.8e-05,1.68%,0,"72,564","72,564","72,564",0
PACK24072-USD,Pack USD,0.00000004,0.0,0.00%,0,235,235,235,0
PHAE-USD,Phaeton USD,0.01951,-0.001402,-6.70%,0,12,12,12,0
LETSGO-USD,Lets Go Brandon USD,0,0.0,-1.91%,0,10,10,10,0
FMG-USD,FM Gallery USD,0.0007,0.0,-0.01%,0,1,1,1,0
CCP-USD,CryptoCoinPay USD,0.029115,-0.015011,-34.02%,0,"8,348","8,348","8,348",0
DNZ-USD,Denizlispor Fan Token USD,0.00236,6.1e-05,2.67%,0,"13,790","13,790","13,790",0
IONX-USD,Charged Particles USD,0.019824,-0.000322,-1.60%,0,"14,689","14,689","14,689",0
VIS18348-USD,Envision USD,0.049594,-0.000332,-0.67%,0,170,170,170,0
STABLZ-USD,Stablz USD,0.072988,0.001144,1.59%,0,"700,494","700,494","700,494",0
HK23554-USD,Hongkong USD,0.023808,0.001445,6.46%,0,"39,398","39,398","39,398",0
TAI23393-USD,AITravis USD,0.000064,-1e-06,-0.81%,0,128,128,128,0
WELL20734-USD,Moonwell USD,0.007928,-0.000181,-2.24%,0,"855,150","855,150","855,150",0
MBE-USD,MxmBoxcEus Token USD,0.020827,-0.000447,-2.10%,0,"2,487","2,487","2,487",0
RAK-USD,Rake Finance USD,26.4,0.88,3.45%,0,"228,375","228,375","228,375",0
HWT-USD,Honor World Token USD,0.050368,-0.003045,-5.70%,0,"18,230","18,230","18,230",0
IDK-USD,IDK USD,0.06693,0.0,0.00%,0,"128,071","128,071","128,071",0
NEXM-USD,Nexum USD,0.056898,0.01901,50.17%,0,"10,371","10,371","10,371",0
FUSD-USD,Fantom USD USD,0.642477,-0.027647,-4.13%,0,221,221,221,0
A2A-USD,A2A USD,0.013702,-4.5e-05,-0.33%,0,153,153,153,0
C3-USD,Charli3 USD,0.192577,0.012341,6.85%,0,"67,844","67,844","67,844",0
PMR-USD,Pomerium USD,0.001476,-0.000162,-9.90%,0,"125,944","125,944","125,944",0
MATCH-USD,Matchcup USD,0.000263,-0.000121,-31.47%,0,"87,980","87,980","87,980",0
TCOIN-USD,Travel Coin USD,0.005145,-0.000321,-5.86%,0,"7,295","7,295","7,295",0
SHFT22855-USD,Shibcraft USD,0.032653,-0.000807,-2.41%,0,257,257,257,0
SHOO-USD,NFTshootout USD,0,0.0,-0.59%,0,2,2,2,0
MTRX20346-USD,Metarix USD,0.002639,-1e-06,-0.06%,0,"6,915","6,915","6,915",0
SCNSOL-USD,Socean Staked Sol USD,22.36,-0.39,-1.72%,0,"17,671","17,671","17,671",0
GALEON-USD,Galeon USD,0.018692,7.5e-05,0.40%,0,"250,177","250,177","250,177",0
FWW-USD,Farmers World Wood USD,0.0000028,1e-07,3.81%,0,"59,183","59,183","59,183",0
PROTON-USD,Proton Protocol USD,0.044663,-0.00213,-4.55%,0,"75,421","75,421","75,421",0
GRAV20381-USD,Graviton USD,0.006352,-3.1e-05,-0.49%,0,"9,508","9,508","9,508",0
BGVT-USD,BIT GAME VERSE TOKEN USD,0.000165,-2e-06,-1.11%,0,"702,257","702,257","702,257",0
TCGC-USD,TCG Verse USD,0.074826,0.002326,3.21%,0,994,994,994,0
NZDS-USD,NZD Stablecoin USD,0.606025,0.0,0.00%,0,141,141,141,0
POCO-USD,Pocoland USD,0.001131,0.0,-0.01%,0,275,275,275,0
UNIS-USD,Universe Coin USD,0.000785,-3e-06,-0.34%,0,3,3,3,0
CREDIT6668-USD,PROXI USD,0.007349,-0.000453,-5.80%,0,"36,082","36,082","36,082",0
TVRS-USD,TiraVerse USD,0.00000899,1e-08,0.10%,0,0,0,0,0
COAL6248-USD,Coalculus USD,0.003271,-0.000232,-6.62%,0,"1,625","1,625","1,625",0
SPRITZMOON-USD,SpritzMoon Crypto Token USD,0.000025,0.0,-0.01%,0,"1,154","1,154","1,154",0
EURE-USD,Monerium EUR emoney USD,1.0917,-0.0089,-0.81%,0,"18,323","18,323","18,323",0
LQDR-USD,Liquid Driver USD,1.2137,-0.0581,-4.57%,0,"50,325","50,325","50,325",0
SOLIDSEX-USD,SOLIDsex: Tokenized veSOLID USD,0.007201,-0.00046,-6.01%,0,41,41,41,0
STKE-USD,AlgoStake USD,0.000623,-7.3e-05,-10.50%,0,"2,245","2,245","2,245",0
SLC16181-USD,Solice USD,0.003234,-0.000223,-6.45%,0,"30,395","30,395","30,395",0
JFC-USD,JFIN USD,0.315236,-0.014961,-4.53%,0,"71,010","71,010","71,010",0
WAI-USD,Wanaka Farm WAIRERE Token USD,0.000168,0.0,-0.10%,0,18,18,18,0
VBSWAP-USD,vBSWAP USD,8.9132,0.0644,0.73%,0,62,62,62,0
CPD-USD,CoinsPaid USD,0.018728,-0.00087,-4.44%,0,"9,640","9,640","9,640",0
BABY21709-USD,Metababy USD,0.017437,-0.003246,-15.69%,0,1.614M,1.614M,1.614M,0
SUI-USD,Salmonation USD,0.010233,1.8e-05,0.17%,0,"1,642","1,642","1,642",0
RAIDER-USD,Crypto Raiders USD,0.029769,0.000107,0.36%,0,"3,339","3,339","3,339",0
OCC-USD,On Chain Capital USD,0.215249,0.00217,1.02%,0,"22,220","22,220","22,220",0
RIDGE-USD,Ridge USD,0.00000022,0.0,0.00%,0,"48,052","48,052","48,052",0
BTNYX-USD,BitOnyx USD,0.013676,-5.8e-05,-0.42%,0,1,1,1,0
KALI19622-USD,Kalissa USD,0.002957,0.000157,5.60%,0,"107,239","107,239","107,239",0
MUNCH-USD,Munch Token USD,0,0.0,0.00%,0,0,0,0,0
BFG-USD,BFG Token USD,0.018096,6.9e-05,0.38%,0,"187,800","187,800","187,800",0
CFXT-USD,Chainflix USD,0.001241,6.3e-05,5.32%,0,"98,107","98,107","98,107",0
JACK-USD,Jack Token USD,1.0042,-0.0045,-0.45%,0,"124,924","124,924","124,924",0
VINU-USD,Viral Inu USD,0.00000044,0.0,-0.19%,0,0,0,0,0
TLC24245-USD,Trillioner USD,13.73,0.69,5.28%,0,2.26M,2.26M,2.26M,0
BCP11338-USD,Block Commerce Protocol USD,0.176127,0.004144,2.41%,0,"919,064","919,064","919,064",0
YUMMY-USD,YUMMY USD,0.00000169,-1e-08,-0.42%,0,15,15,15,0
POODOGE-USD,Poo Doge USD,0.0000001,0.0,0.00%,0,99,99,99,0
CZF-USD,CZodiac Farming Token USD,0,0.0,0.00%,0,1,1,1,0
XTRA-USD,XTRA Token USD,0.00000027,0.0,-0.01%,0,119,119,119,0
AI14838-USD,Artificial Intelligence USD,0.00000034,-3e-08,-8.84%,0,"5,065","5,065","5,065",0
MNDE-USD,Marinade USD,0.042888,-0.002611,-5.74%,0,"175,368","175,368","175,368",0
GIGO-USD,GIGOSWAP USD,0.000304,-5e-06,-1.48%,0,45,45,45,0
BNBP-USD,BNBPot USD,1.8012,-0.0127,-0.70%,0,680,680,680,0
NOS-USD,Nosana USD,0.016567,-0.000187,-1.12%,0,"127,790","127,790","127,790",0
PEPA-USD,Pepa Inu USD,0,0.0,32.34%,0,"48,878","48,878","48,878",0
BAIT-USD,Body Ai USD,0.000046,-2e-06,-4.50%,0,597,597,597,0
MRST-USD,Mars Token USD,0.006411,2.4e-05,0.37%,0,"12,169","12,169","12,169",0
CNFI-USD,Connect Financial USD,0.066353,-0.002105,-3.07%,0,"273,600","273,600","273,600",0
MNST-USD,MoonStarter USD,0.008144,0.000232,2.93%,0,"78,936","78,936","78,936",0
GLDY-USD,Buzzshow USD,0.002093,-9e-06,-0.42%,0,89,89,89,0
KOGE-USD,BNB48 Club Token USD,10.14,-0.03,-0.32%,0,"4,127","4,127","4,127",0
PITI-USD,Pitbull Inu USD,0,0.0,-0.05%,0,12,12,12,0
PRXY-USD,Proxy USD,0.218437,0.014409,7.06%,0,"2,886","2,886","2,886",0
RB24151-USD,RB Finance USD,0.080921,-0.000615,-0.75%,0,195,195,195,0
SKET-USD,Sketch Coin USD,0.003033,-7.1e-05,-2.30%,0,"2,636","2,636","2,636",0
SHIBABNB-USD,ShibaBNB.org USD,0,0.0,-0.01%,0,9,9,9,0
DAO1-USD,DAO1 USD,0.037469,-2e-06,-0.01%,0,0,0,0,0
PET-USD,Hello Pets USD,0.1866,-0.004053,-2.13%,0,"110,989","110,989","110,989",0
NUDES-USD,NUDES USD,0,0.0,9.09%,0,"2,161","2,161","2,161",0
ORT20303-USD,XREATORS USD,0.017062,0.000168,0.99%,0,"55,353","55,353","55,353",0
ENX-USD,Equinox USD,0.000372,-6e-06,-1.69%,0,3,3,3,0
PXP18192-USD,Pirate X Pirate USD,0.000104,0.0,-0.35%,0,6,6,6,0
MTB19299-USD,MetaBomb USD,0.000262,0.0,-0.03%,0,9,9,9,0
MINT24117-USD,MusicN USD,0.407022,-0.030564,-6.98%,0,"224,020","224,020","224,020",0
UPR-USD,Upfire USD,0.002001,0.0,-0.01%,0,192,192,192,0
PIE19494-USD,Pieme USD,0.022566,-0.003086,-12.03%,0,642,642,642,0
BEE21514-USD,Herbee USD,0.003574,4e-06,0.12%,0,"20,899","20,899","20,899",0
GIGA21493-USD,GigaSwap USD,0.00004,-1e-06,-1.28%,0,"13,040","13,040","13,040",0
ANIFI-USD,AniFi World USD,0.000394,0.0,0.03%,0,6,6,6,0
CTR21458-USD,Concentrator USD,1.6413,-0.0118,-0.71%,0,"96,790","96,790","96,790",0
FAN10221-USD,Fanadise USD,0.000322,1e-05,3.20%,0,"13,232","13,232","13,232",0
SVN-USD,Savanna USD,0.005412,0.000249,4.82%,0,"25,776","25,776","25,776",0
CSM20361-USD,Cricket Star Manager USD,0.008559,3.8e-05,0.44%,0,"2,194","2,194","2,194",0
TIGER21063-USD,JungleKing TigerCoin USD,0,0.0,-32.08%,0,"91,873","91,873","91,873",0
CTP-USD,Ctomorrow Platform USD,0.022452,0.000309,1.39%,0,"113,783","113,783","113,783",0
SAKURA-USD,Blossom USD,0.258853,0.012527,5.09%,0,72,72,72,0
WCSOV-USD,CrownSterling USD,0.005943,-0.000169,-2.76%,0,"48,252","48,252","48,252",0
EXFI-USD,Flare Finance USD,0.170826,-0.007682,-4.30%,0,"70,849","70,849","70,849",0
MLOKY-USD,MLOKY USD,0.00018,-4e-06,-2.24%,0,"4,897","4,897","4,897",0
MEME18938-USD,Memeverse USD,0.0024,0.000793,49.36%,0,"120,119","120,119","120,119",0
ASTROAI-USD,Astro Ai USD,0.011576,0.00011,0.96%,0,179,179,179,0
DEATH-USD,Death Token USD,0.00000025,-1e-08,-4.51%,0,94,94,94,0
MOUSEWORM-USD,Mouseworm USD,0.805568,0.039572,5.17%,0,"17,346","17,346","17,346",0
KZEN-USD,Kaizen Finance USD,0.017549,0.000113,0.65%,0,"111,721","111,721","111,721",0
NEKOS-USD,Nekocoin USD,0,0.0,-3.13%,0,182,182,182,0
JP3G-USD,JP3Gvault USD,0.000233,0.0,0.00%,0,2,2,2,0
WCFX-USD,Wrapped Conflux USD,0.369769,-0.00579,-1.54%,0,"506,005","506,005","506,005",0
PAYZ-USD,PAYZ PAYMENTS USD,0.000261,0.0,0.00%,0,27,27,27,0
SAVAX-USD,BENQI Liquid Staked AVAX USD,18.66,-0.32,-1.71%,0,"188,064","188,064","188,064",0
XLS-USD,ELIS USD,0.138171,0.016901,13.94%,0,"5,480","5,480","5,480",0
SRT24185-USD,Solidray (new) USD,0.000104,0.0,-0.10%,0,"1,258","1,258","1,258",0
BRC14591-USD,Brinc.fi USD,0.07406,0.007882,11.91%,0,11,11,11,0
SCT16098-USD,SolClout USD,0.000059,0.0,0.00%,0,2,2,2,0
VB-USD,Very Banking USD,0.006401,-0.000692,-9.75%,0,"1,497","1,497","1,497",0
METAQ-USD,MetaQ USD,0.123763,0.002693,2.22%,0,"1,826","1,826","1,826",0
JIMN-USD,JIMNGAME USD,0.022011,-1e-06,-0.01%,0,3,3,3,0
GEM12097-USD,NFTmall USD,0.010833,-0.000231,-2.09%,0,"4,970","4,970","4,970",0
TBL-USD,Tank Battle USD,0.000302,-1e-06,-0.47%,0,0,0,0,0
AMPLE23682-USD,AmpleSwap (new) USD,0.000137,-1e-05,-6.55%,0,"1,013","1,013","1,013",0
CVXCRV-USD,Convex CRV USD,0.863816,-0.015669,-1.78%,0,2.042M,2.042M,2.042M,0
PSI23412-USD,TridentDAO USD,2.0711,-0.0813,-3.78%,0,"361,555","361,555","361,555",0
SSB-USD,SatoshiStreetBets Token USD,0,0.0,-2.17%,0,8,8,8,0
SXC-USD,SupremeX USD,0.001675,-7e-06,-0.42%,0,1,1,1,0
NEWB-USD,NewB.Farm USD,3.1162,0.0,0.00%,0,95,95,95,0
